BOK Financial ROA - Return on Assets Historical Data,BOK Financial ROA - Return on Assets Historical Data,BOK Financial ROA - Return on Assets Historical Data,BOK Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.43B,$46.67B,0.93%
2020-09-30,$0.39B,$46.07B,0.86%
2020-06-30,$0.38B,$45.82B,0.85%
2020-03-31,$0.45B,$47.12B,1.03%
2019-12-31,$0.50B,$42.17B,1.19%
2019-09-30,$0.50B,$43.13B,1.22%
2019-06-30,$0.47B,$41.89B,1.23%
2019-03-31,$0.45B,$39.88B,1.23%
2018-12-31,$0.44B,$38.02B,1.28%
2018-09-30,$0.41B,$33.29B,1.23%
2018-06-30,$0.38B,$33.83B,1.14%
2018-03-31,$0.35B,$33.36B,1.08%
2017-12-31,$0.33B,$32.27B,1.03%
2017-09-30,$0.31B,$33.01B,0.96%
2017-06-30,$0.30B,$32.26B,0.92%
2017-03-31,$0.28B,$32.63B,0.85%
2016-12-31,$0.23B,$32.77B,0.72%
2016-09-30,$0.24B,$32.78B,0.75%
2016-06-30,$0.24B,$31.97B,0.77%
2016-03-31,$0.25B,$31.41B,0.81%
2015-12-31,$0.29B,$31.48B,0.93%
2015-09-30,$0.29B,$30.57B,0.96%
2015-06-30,$0.29B,$30.73B,0.97%
2015-03-31,$0.29B,$30.30B,0.99%
2014-12-31,$0.29B,$29.09B,1.02%
2014-09-30,$0.30B,$29.11B,1.09%
2014-06-30,$0.30B,$27.84B,1.11%
2014-03-31,$0.31B,$27.37B,1.12%
2013-12-31,$0.32B,$27.02B,1.16%
2013-09-30,$0.33B,$27.17B,1.18%
2013-06-30,$0.34B,$27.81B,1.22%
2013-03-31,$0.36B,$27.45B,1.31%
2012-12-31,$0.35B,$28.15B,1.32%
2012-09-30,$0.34B,$27.12B,1.29%
2012-06-30,$0.33B,$25.58B,1.30%
2012-03-31,$0.30B,$25.88B,1.20%
2011-12-31,$0.29B,$25.49B,1.16%
2011-09-30,$0.28B,$25.07B,1.14%
2011-06-30,$0.26B,$24.24B,1.06%
2011-03-31,$0.25B,$23.70B,1.05%
2010-12-31,$0.25B,$23.94B,1.03%
2010-09-30,$0.23B,$24.39B,0.97%
2010-06-30,$0.22B,$23.74B,0.92%
2010-03-31,$0.21B,$23.50B,0.88%
2009-12-31,$0.20B,$23.52B,0.86%
2009-09-30,$0.19B,$23.88B,0.83%
2009-06-30,$0.20B,$22.77B,0.87%
2009-03-31,$0.15B,$23.33B,0.64%
2008-12-31,$0.15B,$22.74B,0.69%
2008-09-30,$0.17B,$22.38B,0.78%
2008-06-30,$0.17B,$22.44B,0.82%
2008-03-31,$0.23B,$21.13B,1.12%
2007-12-31,$0.22B,$20.67B,1.12%
2007-09-30,$0.22B,$19.85B,1.16%
2007-06-30,$0.21B,$19.28B,1.16%
2007-03-31,$0.21B,$18.08B,1.21%
2006-12-31,$0.21B,$18.06B,1.25%
2006-09-30,$0.21B,$17.12B,1.27%
2006-06-30,$0.21B,$16.92B,1.27%
2006-03-31,$0.20B,$16.30B,1.27%
2005-12-31,$0.20B,$16.33B,1.28%
