Carlyle Group ROA - Return on Assets Historical Data,Carlyle Group ROA - Return on Assets Historical Data,Carlyle Group ROA - Return on Assets Historical Data,Carlyle Group ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.35B,$15.65B,2.57%
2020-09-30,$-0.18B,$14.20B,-1.36%
2020-06-30,$-0.41B,$12.32B,-3.11%
2020-03-31,$-0.40B,$12.09B,-3.04%
2019-12-31,$0.35B,$13.81B,2.59%
2019-09-30,$0.34B,$13.93B,2.57%
2019-06-30,$0.28B,$13.40B,2.16%
2019-03-31,$0.20B,$12.24B,1.52%
2018-12-31,$0.09B,$12.91B,0.72%
2018-09-30,$0.16B,$13.43B,1.26%
2018-06-30,$0.20B,$13.29B,1.56%
2018-03-31,$0.19B,$12.94B,1.59%
2017-12-31,$0.24B,$12.28B,2.12%
2017-09-30,$0.18B,$11.69B,1.65%
2017-06-30,$0.13B,$10.86B,1.31%
2017-03-31,$0.08B,$10.38B,0.82%
2016-12-31,$0.01B,$9.97B,0.06%
2016-09-30,$0.01B,$9.50B,0.07%
2016-06-30,$-0.08B,$9.59B,-0.36%
2016-03-31,$-0.05B,$8.78B,-0.18%
2015-12-31,$-0.02B,$32.18B,-0.05%
2015-09-30,$0.00B,$32.80B,0.01%
2015-06-30,$0.11B,$34.40B,0.31%
2015-03-31,$0.10B,$35.01B,0.28%
2014-12-31,$0.09B,$35.99B,0.23%
2014-09-30,$0.14B,$37.67B,0.38%
2014-06-30,$0.12B,$37.51B,0.33%
2014-03-31,$0.10B,$36.35B,0.27%
2013-12-31,$0.10B,$35.62B,0.31%
2013-09-30,$-0.58B,$33.91B,-1.77%
2013-06-30,$-0.57B,$33.79B,-1.77%
2013-03-31,$-0.57B,$32.65B,-1.85%
2012-12-31,$0.02B,$31.57B,0.07%
2012-09-30,$1.08B,$30.04B,3.80%
2012-06-30,$0.71B,$29.58B,2.60%
2012-03-31,$1.09B,$29.18B,4.50%
2011-12-31,$1.36B,$24.65B,8.01%
2011-06-30,$1.84B,$17.69B,41.58%
2011-03-31,$1.77B,$0.00B,inf%
