Date,Shares
2020-12-31,555
2020-09-30,551
2020-06-30,549
2020-03-31,555
2019-12-31,565
2019-09-30,563
2019-06-30,566
2019-03-31,570
2018-12-31,579
2018-09-30,576
2018-06-30,581
2018-03-31,586
2017-12-31,594
2017-09-30,592
2017-06-30,595
2017-03-31,599
2016-12-31,599
2016-09-30,600
2016-06-30,599
2016-03-31,598
2015-12-31,559
2015-09-30,555
2015-06-30,560
2015-03-31,560
2014-12-31,573
2014-09-30,570
2014-06-30,580
2014-03-31,580
2013-12-31,395
2013-09-30,370
2013-06-30,365
2013-03-31,365
2012-12-31,365
2012-09-30,367
2012-06-30,367
2012-03-31,366
2011-12-31,370
2011-09-30,369
2011-06-30,371
2011-03-31,371
2010-12-31,372
2010-09-30,372
2010-06-30,374
2010-03-31,373
2009-12-31,370
2009-09-30,371
2009-06-30,370
2009-03-31,368
2008-12-31,361
2008-09-30,362
2008-06-30,357
2008-03-31,357
2007-12-31,355
2007-09-30,357
2007-06-30,356
2007-03-31,349
2006-12-31,298
2006-09-30,298
2006-06-30,296
2006-03-31,295
2005-12-31,271
2005-09-30,271
2005-06-30,264
2005-03-31,265
