Invesco Debt/Equity Ratio Historical Data,Invesco Debt/Equity Ratio Historical Data,Invesco Debt/Equity Ratio Historical Data,Invesco Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$21.70B,$14.81B,1.47
2020-09-30,$21.69B,$14.35B,1.51
2020-06-30,$21.61B,$13.97B,1.55
2020-03-31,$23.07B,$13.94B,1.66
2019-12-31,$25.10B,$14.32B,1.75
2019-09-30,$23.93B,$13.96B,1.71
2019-06-30,$24.20B,$14.30B,1.69
2019-03-31,$23.20B,$9.01B,2.58
2018-12-31,$22.04B,$8.94B,2.47
2018-09-30,$23.19B,$9.32B,2.49
2018-06-30,$23.32B,$9.14B,2.55
2018-03-31,$22.43B,$9.19B,2.44
2017-12-31,$22.71B,$8.96B,2.54
2017-09-30,$21.82B,$8.55B,2.55
2017-06-30,$20.08B,$8.17B,2.46
2017-03-31,$18.77B,$7.83B,2.4
2016-12-31,$18.12B,$7.61B,2.38
2016-09-30,$16.31B,$7.82B,2.09
2016-06-30,$15.77B,$7.73B,2.04
2016-03-31,$14.70B,$7.96B,1.85
2015-12-31,$16.38B,$8.70B,1.88
2015-09-30,$16.11B,$8.86B,1.82
2015-06-30,$13.81B,$9.09B,1.52
2015-03-31,$13.09B,$8.87B,1.48
2014-12-31,$11.33B,$9.12B,1.24
2014-09-30,$10.94B,$9.14B,1.2
2014-06-30,$10.58B,$9.32B,1.13
2014-03-31,$11.44B,$8.91B,1.29
2013-12-31,$10.29B,$8.98B,1.15
2013-09-30,$9.64B,$9.12B,1.06
2013-06-30,$9.39B,$8.75B,1.07
2013-03-31,$9.70B,$8.84B,1.1
2012-12-31,$8.44B,$9.05B,0.93
2012-09-30,$8.66B,$9.20B,0.94
2012-06-30,$9.49B,$9.12B,1.04
2012-03-31,$10.20B,$9.13B,1.12
2011-12-31,$10.21B,$9.14B,1.12
2011-09-30,$10.77B,$8.97B,1.2
2011-06-30,$11.72B,$9.20B,1.27
2011-03-31,$11.73B,$9.41B,1.25
2010-12-31,$11.08B,$9.36B,1.18
2010-09-30,$11.10B,$8.85B,1.25
2010-06-30,$10.08B,$8.82B,1.14
2010-03-31,$8.79B,$8.00B,1.1
2009-12-31,$3.29B,$7.62B,0.43
2009-09-30,$3.53B,$7.42B,0.48
2009-06-30,$3.38B,$7.20B,0.47
2009-03-31,$2.94B,$6.36B,0.46
2008-12-31,$3.16B,$6.60B,0.48
2008-09-30,$5.13B,$6.37B,0.81
2008-06-30,$5.57B,$6.68B,0.83
2008-03-31,$6.31B,$6.57B,0.96
2007-12-31,$6.34B,$6.59B,0.96
2007-09-30,$5.66B,$5.01B,1.13
2007-06-30,$5.37B,$4.68B,1.15
2007-03-31,$5.58B,$4.37B,1.28
2006-12-31,$6.07B,$6.16B,0.98
2006-09-30,$4.85B,$4.08B,1.19
2006-06-30,$4.11B,$3.80B,1.08
2006-03-31,$4.38B,$3.62B,1.21
2005-12-31,$3.96B,$3.62B,1.1
2005-09-30,$2.32B,$2.08B,1.12
2005-06-30,$2.04B,$1.96B,1.04
2005-03-31,$3.81B,$3.68B,1.03
