KKR ROA - Return on Assets Historical Data,KKR ROA - Return on Assets Historical Data,KKR ROA - Return on Assets Historical Data,KKR ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.95B,$79.81B,2.90%
2020-09-30,$0.98B,$70.66B,1.58%
2020-06-30,$0.17B,$62.11B,0.28%
2020-03-31,$-0.02B,$55.60B,-0.03%
2019-12-31,$1.97B,$60.90B,3.46%
2019-09-30,$1.06B,$57.65B,1.95%
2019-06-30,$1.46B,$57.52B,2.78%
2019-03-31,$1.63B,$52.00B,3.23%
2018-12-31,$1.10B,$50.74B,2.22%
2018-09-30,$1.66B,$50.34B,3.44%
2018-06-30,$1.17B,$48.57B,2.51%
2018-03-31,$0.90B,$47.58B,1.98%
2017-12-31,$0.99B,$45.84B,2.26%
2017-09-30,$0.99B,$44.31B,2.36%
2017-06-30,$1.19B,$42.87B,2.94%
2017-03-31,$0.88B,$41.64B,2.24%
2016-12-31,$0.29B,$39.00B,0.77%
2016-09-30,$0.15B,$37.99B,0.33%
2016-06-30,$-0.40B,$37.51B,-0.75%
2016-03-31,$-0.11B,$34.43B,-0.18%
2015-12-31,$0.49B,$71.04B,0.70%
2015-09-30,$0.46B,$69.06B,0.66%
2015-06-30,$0.74B,$71.69B,1.09%
2015-03-31,$0.54B,$67.29B,0.81%
2014-12-31,$0.48B,$65.87B,0.75%
2014-09-30,$0.76B,$66.33B,1.26%
2014-06-30,$0.87B,$65.63B,1.57%
2014-03-31,$0.71B,$56.40B,1.41%
2013-12-31,$0.69B,$51.43B,1.46%
2013-09-30,$0.51B,$48.16B,1.12%
2013-06-30,$0.43B,$44.81B,0.97%
2013-03-31,$0.56B,$45.54B,1.28%
2012-12-31,$0.56B,$44.43B,1.29%
2012-09-30,$0.51B,$43.65B,1.20%
2012-06-30,$0.14B,$42.61B,0.34%
2012-03-31,$0.03B,$43.52B,0.08%
2011-12-31,$0.00B,$40.38B,0.01%
2011-09-30,$0.14B,$38.63B,0.35%
2011-06-30,$0.39B,$40.59B,1.01%
2011-03-31,$0.38B,$39.87B,1.03%
2010-12-31,$0.33B,$38.39B,1.25%
2010-06-30,$0.76B,$33.82B,9.00%
2010-03-31,$1.10B,$0.00B,inf%
