Main Street Capital Price/Book Ratio Historical Data,Main Street Capital Price/Book Ratio Historical Data,Main Street Capital Price/Book Ratio Historical Data,Main Street Capital Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,41.47,,1.85
2020-12-31,31.5,$22.38,1.41
2020-09-30,28.49,$21.52,1.32
2020-06-30,29.41,$20.85,1.41
2020-03-31,18.97,$20.73,0.92
2019-12-31,39.11,$23.92,1.64
2019-09-30,38.43,$24.20,1.59
2019-06-30,36.05,$24.18,1.49
2019-03-31,31.93,$24.42,1.31
2018-12-31,28.57,$24.09,1.19
2018-09-30,31.77,$24.69,1.29
2018-06-30,30.96,$23.96,1.29
2018-03-31,29.36,$23.68,1.24
2017-12-31,31.13,$23.53,1.32
2017-09-30,30.5,$23.05,1.32
2017-06-30,29.1,$22.63,1.29
2017-03-31,28.34,$22.44,1.26
2016-12-31,26.83,$22.12,1.21
2016-09-30,24.47,$21.63,1.13
2016-06-30,23.04,$21.14,1.09
2016-03-31,21.44,$21.21,1.01
2015-12-31,19.52,$21.24,0.92
2015-09-30,17.41,$21.79,0.8
2015-06-30,20.47,$21.84,0.94
2015-03-31,19.33,$21.87,0.88
2014-12-31,17.98,$20.85,0.86
2014-09-30,18.34,$21.08,0.87
2014-06-30,19.41,$21.03,0.92
2014-03-31,18.9,$20.14,0.94
2013-12-31,18.54,$19.89,0.93
2013-09-30,16.58,$20.00,0.83
2013-06-30,15.0,$18.72,0.8
2013-03-31,17.12,$18.55,0.92
2012-12-31,15.87,$18.59,0.85
2012-09-30,15.12,$17.49,0.86
2012-06-30,12.2,$16.89,0.72
2012-03-31,12.2,$15.73,0.78
2011-12-31,10.34,$15.39,0.67
2011-09-30,8.46,$14.69,0.58
2011-06-30,8.84,$14.43,0.61
2011-03-31,8.43,$14.09,0.6
2010-12-31,8.09,$13.30,0.61
2010-09-30,6.96,$12.96,0.54
2010-06-30,6.38,$12.45,0.51
2010-03-31,6.52,$12.18,0.53
2009-12-31,6.51,$11.96,0.54
2009-09-30,5.65,$12.01,0.47
2009-06-30,5.29,$11.80,0.45
2009-03-31,3.75,$11.84,0.32
2008-12-31,3.53,$12.20,0.29
2008-09-30,4.02,$12.49,0.32
2008-06-30,3.96,$13.02,0.3
2008-03-31,4.46,$12.87,0.35
2007-12-31,4.45,$12.85,0.35
