State Street Debt/Equity Ratio Historical Data,State Street Debt/Equity Ratio Historical Data,State Street Debt/Equity Ratio Historical Data,State Street Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$288.51B,$26.20B,11.01
2020-09-30,$246.52B,$25.56B,9.65
2020-06-30,$255.37B,$24.87B,10.27
2020-03-31,$338.67B,$23.86B,14.19
2019-12-31,$221.18B,$24.43B,9.05
2019-09-30,$219.40B,$25.21B,8.7
2019-06-30,$216.09B,$25.45B,8.49
2019-03-31,$203.29B,$25.04B,8.12
2018-12-31,$219.86B,$24.74B,8.89
2018-09-30,$209.45B,$24.55B,8.53
2018-06-30,$225.74B,$22.57B,10.0
2018-03-31,$227.89B,$22.40B,10.17
2017-12-31,$216.11B,$22.32B,9.68
2017-09-30,$213.49B,$22.50B,9.49
2017-06-30,$216.21B,$22.07B,9.8
2017-03-31,$215.51B,$21.29B,10.12
2016-12-31,$221.48B,$21.22B,10.44
2016-09-30,$233.96B,$22.18B,10.55
2016-06-30,$233.28B,$22.10B,10.55
2016-03-31,$222.16B,$21.53B,10.32
2015-12-31,$224.02B,$21.14B,10.6
2015-09-30,$225.74B,$21.53B,10.48
2015-06-30,$273.07B,$21.50B,12.7
2015-03-31,$258.66B,$20.82B,12.42
2014-12-31,$252.79B,$21.33B,11.85
2014-09-30,$253.65B,$21.16B,11.99
2014-06-30,$260.62B,$21.70B,12.01
2014-03-31,$235.39B,$21.27B,11.07
2013-12-31,$222.91B,$20.38B,10.94
2013-09-30,$196.75B,$20.43B,9.63
2013-06-30,$207.22B,$20.08B,10.32
2013-03-31,$197.32B,$20.87B,9.46
2012-12-31,$201.71B,$20.87B,9.67
2012-09-30,$183.77B,$20.75B,8.86
2012-06-30,$180.88B,$19.90B,9.09
2012-03-31,$167.80B,$20.16B,8.32
2011-12-31,$197.43B,$19.40B,10.18
2011-09-30,$189.14B,$19.65B,9.63
2011-06-30,$170.62B,$19.83B,8.6
2011-03-31,$152.62B,$19.18B,7.96
2010-12-31,$142.72B,$17.79B,8.02
2010-09-30,$155.40B,$17.57B,8.85
2010-06-30,$146.02B,$16.06B,9.09
2010-03-31,$138.56B,$15.41B,8.99
2009-12-31,$143.46B,$14.49B,9.9
2009-09-30,$149.84B,$13.44B,11.15
2009-06-30,$141.32B,$12.10B,11.68
2009-03-31,$128.29B,$13.86B,9.26
2008-12-31,$160.86B,$12.77B,12.59
2008-09-30,$272.50B,$13.06B,20.86
2008-06-30,$132.18B,$14.04B,9.42
2008-03-31,$143.54B,$10.81B,13.28
2007-12-31,$131.24B,$11.30B,11.62
2007-09-30,$128.64B,$11.25B,11.43
2007-06-30,$104.52B,$7.75B,13.49
2007-03-31,$102.54B,$7.47B,13.73
2006-12-31,$100.10B,$7.25B,13.8
2006-09-30,$105.30B,$7.02B,15.01
2006-06-30,$96.07B,$6.47B,14.85
2006-03-31,$97.74B,$6.41B,15.24
2005-12-31,$91.60B,$6.37B,14.39
2005-09-30,$97.90B,$6.10B,16.04
2005-06-30,$98.01B,$6.25B,15.69
2005-03-31,$94.07B,$6.03B,15.61
